# LAMMPS data file written by OVITO Basic 3.9.4

3864 atoms
4 atom types

0.0 130.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

81 4 0.0 44.294472542 13.1959136604 12.1640060164
82 3 0.0 44.2964833664 10.6732670609 12.0408825409
83 1 0.0 45.1271792424 11.932255294 12.1661075216
84 1 0.0 49.6531649558 11.8991973813 12.3584570476
85 1 0.0 48.8950825903 10.5665826544 12.3392962657
86 1 0.0 47.3697610315 10.5781011941 12.2950410406
87 1 0.0 46.6350380528 11.9228427813 12.2886129073
88 1 0.0 51.0388464137 7.1062580289 0.0218803767
89 1 0.0 52.5650189306 7.0948719896 0.0541446609
90 2 0.0 46.7862176871 9.6000508052 12.2528873206
91 2 0.0 50.467508197 8.0926242763 0.0510542122
92 2 0.0 53.1491888005 8.072479419 0.1024792783
93 4 0.0 38.9417258812 13.1489924748 12.2488079283
94 3 0.0 38.9199443098 10.5607075332 12.0983648864
95 1 0.0 38.1623801908 11.8773504801 12.2782289998
96 2 0.0 49.4647903453 9.5792292985 12.3307666274
97 1 0.0 55.8923383266 12.6979388449 12.0513900664
98 1 0.0 54.6018549994 13.508853205 12.1002191556
99 1 0.0 53.3183324721 12.6775931163 12.0840252045
100 1 0.0 53.3053671466 11.1590641325 12.0073820772
101 1 0.0 54.6042395582 10.3542637973 11.9416173292
102 1 0.0 55.8918748301 11.1754926955 11.9777137698
103 2 0.0 54.5951326003 14.6463382006 12.1777276086
104 2 0.0 54.6108270967 9.214894318 11.8966203964
105 4 0.0 57.294472542 13.1959136604 12.1640060164
106 3 0.0 57.2964833664 10.6732670609 12.0408825409
107 1 0.0 58.1271792424 11.932255294 12.1661075216
108 1 0.0 62.6531649558 11.8991973813 12.3584570476
109 1 0.0 61.8950825903 10.5665826544 12.3392962657
110 1 0.0 60.3697610315 10.5781011941 12.2950410406
111 1 0.0 59.6350380528 11.9228427813 12.2886129073
112 1 0.0 64.0388464137 7.1062580289 0.0218803767
113 1 0.0 65.5650189306 7.0948719896 0.0541446609
114 2 0.0 59.7862176871 9.6000508052 12.2528873206
115 2 0.0 63.467508197 8.0926242763 0.0510542122
116 2 0.0 66.1491888005 8.072479419 0.1024792783
117 4 0.0 51.9417258812 13.1489924748 12.2488079283
118 3 0.0 51.9199443098 10.5607075332 12.0983648864
119 1 0.0 51.1623801908 11.8773504801 12.2782289998
120 2 0.0 62.4647903453 9.5792292985 12.3307666274
121 1 0.0 68.8923383266 12.6979388449 12.0513900664
122 1 0.0 67.6018549994 13.508853205 12.1002191556
123 1 0.0 66.3183324721 12.6775931163 12.0840252045
124 1 0.0 66.3053671466 11.1590641325 12.0073820772
125 1 0.0 67.6042395582 10.3542637973 11.9416173292
126 1 0.0 68.8918748301 11.1754926955 11.9777137698
127 2 0.0 67.5951326003 14.6463382006 12.1777276086
128 2 0.0 67.6108270967 9.214894318 11.8966203964
129 4 0.0 70.294472542 13.1959136604 12.1640060164
130 3 0.0 70.2964833664 10.6732670609 12.0408825409
131 1 0.0 71.1271792424 11.932255294 12.1661075216
132 1 0.0 75.6531649558 11.8991973813 12.3584570476
133 1 0.0 74.8950825903 10.5665826544 12.3392962657
134 1 0.0 73.3697610315 10.5781011941 12.2950410406
135 1 0.0 72.6350380528 11.9228427813 12.2886129073
136 1 0.0 77.0388464137 7.1062580289 0.0218803767
137 1 0.0 78.5650189306 7.0948719896 0.0541446609
138 2 0.0 72.7862176871 9.6000508052 12.2528873206
139 2 0.0 76.467508197 8.0926242763 0.0510542122
140 2 0.0 79.1491888005 8.072479419 0.1024792783
141 4 0.0 64.9417258812 13.1489924748 12.2488079283
142 3 0.0 64.9199443098 10.5607075332 12.0983648864
143 1 0.0 64.1623801908 11.8773504801 12.2782289998
144 2 0.0 75.4647903453 9.5792292985 12.3307666274
145 1 0.0 81.8923383266 12.6979388449 12.0513900664
146 1 0.0 80.6018549994 13.508853205 12.1002191556
147 1 0.0 79.3183324721 12.6775931163 12.0840252045
148 1 0.0 79.3053671466 11.1590641325 12.0073820772
149 1 0.0 80.6042395582 10.3542637973 11.9416173292
150 1 0.0 81.8918748301 11.1754926955 11.9777137698
151 2 0.0 80.5951326003 14.6463382006 12.1777276086
152 2 0.0 80.6108270967 9.214894318 11.8966203964
153 4 0.0 83.294472542 13.1959136604 12.1640060164
154 3 0.0 83.2964833664 10.6732670609 12.0408825409
155 1 0.0 84.1271792424 11.932255294 12.1661075216
156 1 0.0 88.6531649558 11.8991973813 12.3584570476
157 1 0.0 87.8950825903 10.5665826544 12.3392962657
158 1 0.0 86.3697610315 10.5781011941 12.2950410406
159 1 0.0 85.6350380528 11.9228427813 12.2886129073
