# LAMMPS data file written by OVITO Basic 3.9.4

4096 atoms
4 atom types

0.0 138.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

81 4 0.0 44.2947590934 12.9959151228 12.1640060164
82 3 0.0 44.2954052197 10.9731476349 12.0408825409
83 1 0.0 45.1276592424 11.932255294 12.1661075216
84 1 0.0 49.6532649558 11.8991973813 12.3584570476
85 1 0.0 48.8955425903 10.5665826544 12.3392962657
86 1 0.0 47.3699210315 10.5781011941 12.2950410406
87 1 0.0 46.6343380528 11.9228427813 12.2886129073
88 1 0.0 51.0386464137 7.1062580289 0.0218803767
89 1 0.0 52.5647989306 7.0948719896 0.0541446609
90 2 0.0 46.8945569525 9.9796494364 12.2528873206
91 2 0.0 50.467368197 8.0926242763 0.0510542122
92 2 0.0 53.1491888005 8.072479419 0.1024792783
93 4 0.0 38.9407124325 12.9489939372 12.2488079283
94 3 0.0 38.9197828026 10.8608225721 12.0983648864
95 1 0.0 38.1627601908 11.8773504801 12.2782289998
96 2 0.0 49.1941658983 9.9046665437 12.3307666274
97 1 0.0 55.6919183266 12.6979388449 12.0513900664
98 1 0.0 54.4009349994 13.508853205 12.1002191556
99 1 0.0 53.1183524721 12.6775931163 12.0840252045
100 1 0.0 53.1048671466 11.1590641325 12.0073820772
101 1 0.0 54.4040795582 10.3542637973 11.9416173292
102 1 0.0 55.6918948301 11.1754926955 11.9777137698
103 2 0.0 54.3949326003 14.6463382006 12.1777276086
104 2 0.0 54.4109870967 9.214894318 11.8966203964
105 4 0.0 57.0942590934 12.9959151228 12.1640060164
106 3 0.0 57.0962852197 10.9731476349 12.0408825409
107 1 0.0 57.9271592424 11.932255294 12.1661075216
108 4 0.0 51.7415924325 12.9489939372 12.2488079283
109 3 0.0 51.7206628026 10.8608225721 12.0983648864
110 1 0.0 50.9622601908 11.8773504801 12.2782289998
111 1 0.0 76.6913783266 12.6979388449 12.0513900664
112 1 0.0 75.4017749994 13.508853205 12.1002191556
113 1 0.0 74.1191924721 12.6775931163 12.0840252045
114 1 0.0 74.1043271466 11.1590641325 12.0073820772
115 1 0.0 75.4049195582 10.3542637973 11.9416173292
116 1 0.0 76.6927348301 11.1754926955 11.9777137698
117 2 0.0 75.3957726003 14.6463382006 12.1777276086
118 2 0.0 75.4118270967 9.214894318 11.8966203964
119 4 0.0 78.0950990934 12.9959151228 12.1640060164
120 3 0.0 78.0957452197 10.9731476349 12.0408825409
121 1 0.0 78.9279992424 11.932255294 12.1661075216
122 1 0.0 83.4536049558 11.8991973813 12.3584570476
123 1 0.0 82.6958825903 10.5665826544 12.3392962657
124 1 0.0 81.1702610315 10.5781011941 12.2950410406
125 1 0.0 80.4346780528 11.9228427813 12.2886129073
126 1 0.0 84.8389864137 7.1062580289 0.0218803767
127 1 0.0 86.3651389306 7.0948719896 0.0541446609
128 2 0.0 80.5867376871 9.6000508052 12.2528873206
129 2 0.0 84.267708197 8.0926242763 0.0510542122
130 2 0.0 86.9495288005 8.072479419 0.1024792783
131 4 0.0 72.7410524325 12.9489939372 12.2488079283
132 3 0.0 72.7201228026 10.8608225721 12.0983648864
133 1 0.0 71.9617201908 11.8773504801 12.2782289998
134 2 0.0 83.2647103453 9.5792292985 12.3307666274
135 1 0.0 89.8924583266 12.6979388449 12.0513900664
136 1 0.0 88.6014749994 13.508853205 12.1002191556
137 1 0.0 87.3188924721 12.6775931163 12.0840252045
138 1 0.0 87.3054071466 11.1590641325 12.0073820772
139 1 0.0 88.6046195582 10.3542637973 11.9416173292
140 1 0.0 89.8924348301 11.1754926955 11.9777137698
141 2 0.0 88.5954726003 14.6463382006 12.1777276086
142 2 0.0 88.6115270967 9.214894318 11.8966203964
143 4 0.0 91.2947990934 12.9959151228 12.1640060164
144 3 0.0 91.2954452197 10.9731476349 12.0408825409
145 1 0.0 92.1276992424 11.932255294 12.1661075216
146 1 0.0 96.6533049558 11.8991973813 12.3584570476
147 1 0.0 95.8955825903 10.5665826544 12.3392962657
148 1 0.0 94.3699610315 10.5781011941 12.2950410406
149 1 0.0 93.6343780528 11.9228427813 12.2886129073
150 1 0.0 98.0386864137 7.1062580289 0.0218803767
151 1 0.0 99.5648389306 7.0948719896 0.0541446609
152 2 0.0 93.7864376871 9.6000508052 12.2528873206
153 2 0.0 97.467408197 8.0926242763 0.0510542122
154 2 0.0 100.1492288005 8.072479419 0.1024792783
155 4 0.0 85.9407524325 12.9489939372 12.2488079283
156 3 0.0 85.9198228026 10.8608225721 12.0983648864
157 1 0.0 85.1628001908 11.8773504801 12.2782289998
158 2 0.0 96.4657903453 9.5792292985 12.3307666274
159 1 0.0 102.8920583266 12.6979388449 12.0513900664
160 1 0.0 101.6010749994 13.508853205 12.1002191556
161 1 0.0 100.3184924721 12.6775931163 12.0840252045
162 1 0.0 100.3050071466 11.1590641325 12.0073820772
163 1 0.0 101.6042195582 10.3542637973 11.9416173292
164 1 0.0 102.8920348301 11.1754926955 11.9777137698
165 2 0.0 101.5950726003 14.6463382006 12.1777276086
166 2 0.0 101.6111270967 9.214894318 11.8966203964
167 4 0.0 104.2943990934 12.9959151228 12.1640060164
168 3 0.0 104.2964252197 10.9731476349 12.0408825409
169 1 0.0 105.1272992424 11.932255294 12.1661075216
170 1 0.0 109.6529049558 11.8991973813 12.3584570476
171 1 0.0 108.8951825903 10.5665826544 12.3392962657
172 1 0.0 107.3709410315 10.5781011941 12.2950410406
173 1 0.0 106.6353580528 11.9228427813 12.2886129073
174 1 0.0 111.0382864137 7.1062580289 0.0218803767
